column_id,column_description
HRS2012Q1,HOUSEHOLD IDENTIFICATION NUMBER ... 20554 000003-959738. Household Identification Number
HRS2012Q21,Ref: SecJ.WORKSTATUS.Q21_ In what month and year did you become disabled? IWER: Month entered must be before or in [Current Month][Current Year] Month: Year: ... 77 1. JAN 52 2. FEB 43 3. MAR 62 4. APR 54 5. MAY 78 6. JUN 53 7. JUL 38 8. AUG 63 9. SEP 43 10. OCT 55 11. NOV 45 12. DEC 223 98. DK (Don't Know); NA (Not Ascertained) 1 99. RF (Refused) 19667 Blank. INAP (Inapplicable); Partial Interview
HRS2012Q22,Ref: SecJ.WORKSTATUS.Q22_ (In what month and year did you become disabled?) IWER: Month entered must be before or in [Current Month][Current Year] Month: [DISABLED-MO] Year: ... 794 1938-2013. Actual Value 92 9998. DK (Don't Know); NA (Not Ascertained) 1 9999. RF (Refused) 19667 Blank. INAP (Inapplicable); Partial Interview
HRS2012Q23,Ref: SecJ.WORKSTATUS.Q23_ In what month and year did you retire? Month: Year: ... 156 1. JAN 66 2. FEB 98 3. MAR 92 4. APR 135 5. MAY 219 6. JUN 112 7. JUL 111 8. AUG 118 9. SEP 96 10. OCT 94 11. NOV 126 12. DEC 360 98. DK (Don't Know); NA (Not Ascertained) 5 99. RF (Refused) 18766 Blank. INAP (Inapplicable); Partial Interview
HRS2012Q24,Ref: SecJ.WORKSTATUS.Q24_YrRetired (In what month and year did you retire?) Month: [RETIRED-MO] Year: ... 1595 1944-2013. Actual Value 189 9998. DK (Don't Know); NA (Not Ascertained) 4 9999. RF (Refused) 18766 Blank. INAP (Inapplicable); Partial Interview
HRS2012Q25,Ref: SecJ.WORKSTATUS.Q25_WorkforPay Are you doing any work for pay at the present time? ... 7957 1. YES 12545 5. NO 4 8. DK (Don't Know); NA (Not Ascertained) 12 9. RF (Refused) 36 Blank. INAP (Inapplicable); Partial Interview
HRS2012Q26,Ref: SecJ.WORKSTATUS.Q26_NotWrk * ... 8096 1. Not working currently or in past 2 waves 12458 Blank. INAP (Inapplicable); Partial Interview
HRS2012Q27,Ref: SecJ.WORKSTATUS.Q27_EmpSelfOth [On the job you plan to go back to\,/On your current (main) job\,] do you work for someone else\, are you self-employed\, or what? IWER: If R says\, 'I run my own business' choose 'self-employed' ... 6284 1. SOMEONE ELSE 1660 2. SELF-EMPLOYED 11 8. DK (Don't Know); NA (Not Ascertained) 1 9. RF (Refused) 12598 Blank. INAP (Inapplicable); Partial Interview
HRS2012Q28,Ref: SecJ.WORKSTATUS.Q28_ * ... 5389 1. WORK SOMEONE ELSE AND EMPLOYED PREV WAVE 1307 2. NOT WORK SOME ELSE AND EMPLOYED PREV WAVE 477 3. NOT CURRENTLY SELF EMP AND SELF EMP PREV WAVE 13381 4. ALL OTHERS
HRS2012Q29,Ref: SecJ.WORKSTATUS.Q29Q30BP ... 5389 3. WORKING FOR SOMEONE ELSE THIS WAVE AND NOT WORKING FOR SOMEONE ELSE LAST WAVE 1307 4. (NOT WORKING FOR PAY OR NOT WORKING FOR SOMEONE ELSE) AND NOT WORKING FOR SOMEONE ELSE LAST WAVE 477 5. SELF EMPLOYED LAST WAVE AND NOT SELF EMPLOYED THIS WAVE 13381 6. ALL OTHERS
HRS2012Q30,Ref: SecJ.PREVIOUSJOBANDPENSION.PWSELFNOWELSE.Q30_MoStopWrkSelf According to our records\, in [Prev IW Month] [Prev IW Year] you were self-employed. In what month and year did you stop working for yourself? IWER: Month entered must be between [Prev IW Month] \, [Prev IW Year] and [Current Month]\, [Current Year] Month: Year: ... 51 1. JAN 19 2. FEB 21 3. MAR 28 4. APR 32 5. MAY 21 6. JUN 29 7. JUL 21 8. AUG 28 9. SEP 22 10. OCT 25 11. NOV 35 12. DEC 94. STILL WORKING FOR SELF (AS PRIMARY JOB) 33 96. STILL WORKING FOR SELF AS SECOND JOB 56 97. DENIES BEING SELF-EMPLOYED AT PREVIOUS IW 48 98. DK (Don't Know); NA (Not Ascertained) 3 99. RF (Refused) 20082 Blank. INAP (Inapplicable); Partial Interview
