column_id,column_description
HRS2006Q1,HOUSEHOLD IDENTIFICATION NUMBER ... 18469 000003-502761. Household Identification Number
HRS2006Q2,RESPONDENT PERSON IDENTIFICATION NUMBER ... 9988 010. Person Identifier 532 011. Person Identifier 22 012. Person Identifier 1 013. Person Identifier 5869 020. Person Identifier 141 021. Person Identifier 7 022. Person Identifier 733 030. Person Identifier 41 031. Person Identifier 3 032. Person Identifier 1077 040. Person Identifier 53 041. Person Identifier 2 042. Person Identifier
HRS2006Q3,2006 SUB HOUSEHOLD IDENTIFICATION NUMBER ... 17394 0. Original sample household - no split from divorce or separation of spouses or partners 557 1. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 405 2. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 37 5. Split household - one half of couple from Q3 1 or 2 6 6. Split household - one half of couple from Q3 1 or 2 69 7. Reunited household - respondents from split household reunite 1 8. Split household - one half of couple from Q3 1 or 2
HRS2006Q4,2004 SUB HOUSEHOLD IDENTIFICATION NUMBER ... 17557 0. Original sample household - no split from divorce or separation of spouses or partners 465 1. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 355 2. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 29 5. Split household - one half of couple from Q3 1 or 2 3 6. Split household - one half of couple from Q3 1 or 2 60 7. Reunited household - respondents from split household reunite
HRS2006Q5,2006 SPOUSE/PARTNER PERSON NUMBER ... 5195 010. Person Identifier 460 011. Person Identifier 16 012. Person Identifier 1 013. Person Identifier 4670 020. Person Identifier 120 021. Person Identifier 5 022. Person Identifier 583 030. Person Identifier 36 031. Person Identifier 3 032. Person Identifier 879 040. Person Identifier 47 041. Person Identifier 2 042. Person Identifier 21 811. Spouse of Non-Original Respondent 2 812. Spouse of Non-Original Respondent 5 821. Spouse of Non-Original Respondent 2 831. Spouse of Non-Original Respondent 2 841. Spouse of Non-Original Respondent 6420 Blank. INAP (Inapplicable); Partial Interview; Single R Household
HRS2006Q6,2006 WHETHER COVERSHEET RESPONDENT ... 12605 1. Yes 5864 5. No
HRS2006Q7,2006 WHETHER FAMILY RESPONDENT ... 12513 1. Family R 5956 5. Non-Family R
HRS2006Q8,2006 WHETHER FINANCIAL RESPONDENT ... 12558 1. Financial R 5911 5. Non-Financial R
HRS2006Q9,Ref: SecJ.WORKSTATUS.Q9CurrEmpStatus[1] Now I'm going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? Do not probe but choose all that apply ... 5965 1. WORKING NOW 180 2. UNEMPLOYED AND LOOKING FOR WORK 117 3. TEMPORARILY LAID OFF\, ON SICK OR OTHER LEAVE 1591 4. DISABLED 8465 5. RETIRED 2071 6. HOMEMAKER 63 7. OTHER (SPECIFY) 5 8. DK (Don't Know); NA (Not Ascertained) 2 9. RF(Refused) 10 Blank. INAP (Inapplicable); Partial Interview
HRS2006Q10,Ref: SecJ.WORKSTATUS.Q9CurrEmpStatus[2] Now I'm going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? Do not probe but choose all that apply ... 146 1. WORKING NOW 14 2. UNEMPLOYED AND LOOKING FOR WORK 4 3. TEMPORARILY LAID OFF\, ON SICK OR OTHER LEAVE 107 4. DISABLED 566 5. RETIRED 527 6. HOMEMAKER 20 7. OTHER (SPECIFY) 8. DK (Don't Know); NA (Not Ascertained) 9. RF(Refused) 17085 Blank. INAP (Inapplicable); Partial Interview
HRS2006Q11,Ref: SecJ.WORKSTATUS.Q9CurrEmpStatus[3] Now I'm going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? Do not probe but choose all that apply ... 4 1. WORKING NOW 2 2. UNEMPLOYED AND LOOKING FOR WORK 1 3. TEMPORARILY LAID OFF\, ON SICK OR OTHER LEAVE 5 4. DISABLED 13 5. RETIRED 26 6. HOMEMAKER 6 7. OTHER (SPECIFY) 8. DK (Don't Know); NA (Not Ascertained) 9. RF(Refused) 18412 Blank. INAP (Inapplicable); Partial Interview
HRS2006Q12,Ref: SecJ.WORKSTATUS.Q9CurrEmpStatus[4] Now I'm going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? Do not probe but choose all that apply ... 1. WORKING NOW 2. UNEMPLOYED AND LOOKING FOR WORK 3. TEMPORARILY LAID OFF\, ON SICK OR OTHER LEAVE 4. DISABLED 5. RETIRED 1 6. HOMEMAKER 7. OTHER (SPECIFY) 8. DK (Don't Know); NA (Not Ascertained) 9. RF(Refused) 18468 Blank. INAP (Inapplicable); Partial Interview
HRS2006Q13,Ref: SecJ.WORKSTATUS.Q9CurrEmpStatus[5] Now I'm going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? Do not probe but choose all that apply ... 1. WORKING NOW 2. UNEMPLOYED AND LOOKING FOR WORK 3. TEMPORARILY LAID OFF\, ON SICK OR OTHER LEAVE 4. DISABLED 5. RETIRED 6. HOMEMAKER 7. OTHER (SPECIFY) 8. DK (Don't Know); NA (Not Ascertained) 9. RF(Refused) 18469 Blank. INAP (Inapplicable); Partial Interview
HRS2006Q14,Ref: SecJ.WORKSTATUS.Q14_ In what month and year did you become unemployed? Month entered must be before or in [System Month]\, [System Date] Month: Year: ... 19 1. JAN 11 2. FEB 16 3. MAR 11 4. APR 19 5. MAY 23 6. JUN 11 7. JUL 12 8. AUG 10 9. SEP 12 10. OCT 11 11. NOV 21 12. DEC 19 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18274 Blank. INAP (Inapplicable); Partial Interview
HRS2006Q15,Ref: SecJ.WORKSTATUS.Q15_ (In what month and year did you become unemployed?) Month entered must be before or in [System Month]\, [System Date] Month: [MO UNEMPLOYED] Year: ... 187 1975-2006. Actual Value 8 9998. DK (Don't Know); NA (Not Ascertained) 9999. RF (Refused) 18274 Blank. INAP (Inapplicable); Partial Interview
HRS2006Q16,Ref: SecJ.WORKSTATUS.Q16_ Do you expect to go back to this job? ... 83 1. YES 32 5. NO 8 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 18346 Blank. INAP (Inapplicable); Partial Interview
