column_id,column_description
HRS2016Q1,HOUSEHOLD IDENTIFICATION NUMBER ... 20912 010001-959738. Household Identification Number
HRS2016Q2,RESPONDENT PERSON IDENTIFICATION NUMBER ... 11991 010. Person Identifier 696 011. Person Identifier 33 012. Person Identifier 1 013. Person Identifier 6697 020. Person Identifier 214 021. Person Identifier 18 022. Person Identifier 1 023. Person Identifier 432 030. Person Identifier 47 031. Person Identifier 4 032. Person Identifier 1 033. Person Identifier 719 040. Person Identifier 51 041. Person Identifier 6 042. Person Identifier 1 043. Person Identifier
HRS2016Q3,2016 SUB HOUSEHOLD IDENTIFICATION NUMBER ... 19158 0. Original sample household - no split from divorce or separation of spouses or partners 869 1. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 691 2. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 66 5. Split household - one half of couple from Q3 1 or 2 7 6. Split household - one half of couple from Q3 1 or 2 120 7. Reunited household - respondents from split household reunite 1 8. Split household - one half of couple from Q3 1 or 2
HRS2016Q4,2014 SUB HOUSEHOLD IDENTIFICATION NUMBER ... 14933 0. Original sample household - no split from divorce or separation of spouses or partners 773 1. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 627 2. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 55 5. Split household - one half of couple from Q3 1 or 2 6 6. Split household - one half of couple from Q3 1 or 2 99 7. Reunited household - respondents from split household reunite 1 8. Split household - one half of couple from Q3 1 or 2 4418 Blank. New Cohort HH
HRS2016Q5,2016 SPOUSE/PARTNER PERSON NUMBER ... 5750 010. Person Identifier 503 011. Person Identifier 27 012. Person Identifier 1 013. Person Identifier 5435 020. Person Identifier 175 021. Person Identifier 14 022. Person Identifier 1 023. Person Identifier 255 030. Person Identifier 29 031. Person Identifier 1 032. Person Identifier 1 033. Person Identifier 454 040. Person Identifier 38 041. Person Identifier 3 042. Person Identifier 2 043. Person Identifier 8 810. Spouse of Original R\, Never Entered Sample 36 811. Spouse of Non-Original Respondent 3 812. Spouse of Non-Original Respondent 6 821. Spouse of Non-Original Respondent 2 822. Spouse of Non-Original Respondent 3 831. Spouse of Non-Original Respondent 2 832. Spouse of Non-Original Respondent 4 841. Spouse of Non-Original Respondent 8159 Blank. Single Respondent Household
HRS2016Q6,2016 WHETHER COVERSHEET RESPONDENT ... 15018 1. Yes 55 3. 2nd Coverscreen R\, answers not retained 5839 5. No
HRS2016Q7,2016 WHETHER FAMILY RESPONDENT ... 14561 1. Family R 25 3. 2nd Family R\, answers not retained 6326 5. Non-Family R
HRS2016Q8,2016 WHETHER FINANCIAL RESPONDENT ... 14766 1. Financial R 25 3. 2nd Financial R\, answers not retained 6121 5. Non-Financial R
HRS2016Q9,Ref: SecJ.Q9_3Wave * ... 20912 0. Asked this wave Blank. INAP (Inapplicable); Partial Interview
HRS2016Q10,Ref: SecJ.Q10_4Wave * ... 20912 0. Asked this wave Blank. INAP (Inapplicable); Partial Interview
HRS2016Q21,Ref: SecJ.WORKSTATUS.Q21_ In what month and year did you become disabled? IWER: Month entered must be before or in [Current Month][Current Year] Month: Year: ... 118 1. JAN 84 2. FEB 87 3. MAR 92 4. APR 90 5. MAY 121 6. JUN 83 7. JUL 94 8. AUG 96 9. SEP 93 10. OCT 61 11. NOV 76 12. DEC 251 98. DK (Don't Know); NA (Not Ascertained) 2 99. RF (Refused) 19564 Blank. INAP (Inapplicable); Partial Interview
HRS2016Q22,Ref: SecJ.WORKSTATUS.Q22_ (In what month and year did you become disabled?) IWER: Month entered must be before or in [Current Month][Current Year] Month: [DISABLED-MO] Year: ... 1263 1942-2018. Actual Value 83 9998. DK (Don't Know); NA (Not Ascertained) 2 9999. RF (Refused) 19564 Blank. INAP (Inapplicable); Partial Interview
HRS2016Q23,Ref: SecJ.WORKSTATUS.Q23_ In what month and year did you retire? Month: Year: ... 138 1. JAN 72 2. FEB 95 3. MAR 91 4. APR 111 5. MAY 172 6. JUN 102 7. JUL 78 8. AUG 97 9. SEP 78 10. OCT 61 11. NOV 108 12. DEC 135 98. DK (Don't Know); NA (Not Ascertained) 3 99. RF (Refused) 19571 Blank. INAP (Inapplicable); Partial Interview
HRS2016Q24,Ref: SecJ.WORKSTATUS.Q24_YrRetired (In what month and year did you retire?) Month: [RETIRED-MO] Year: ... 1274 1956-2018. Actual Value 64 9998. DK (Don't Know); NA (Not Ascertained) 3 9999. RF (Refused) 19571 Blank. INAP (Inapplicable); Partial Interview
HRS2016Q25,Ref: SecJ.WORKSTATUS.Q25_WorkforPay Are you doing any work for pay at the present time? ... 8777 1. YES 12032 5. NO 1 8. DK (Don't Know); NA (Not Ascertained) 11 9. RF (Refused) 91 Blank. INAP (Inapplicable); Partial Interview
HRS2016Q26,Ref: SecJ.WORKSTATUS.Q26_ Have you worked for pay in the last 12 months? ... 1133 1. YES 11064 5. NO 4 8. DK (Don't Know); NA (Not Ascertained) 12 9. RF (Refused) 8699 Blank. INAP (Inapplicable); Partial Interview
HRS2016Q27,Ref: SecJ.WORKSTATUS.Q27_ Counting paid vacations as weeks of work\, how many weeks did you work in the last 12 months? IWER: Count paid sick time as work time IWER: 'Weeks worked' for this question could be from R's current job or any other job where R worked for pay during the last 12 months 0-52 weeks ... ----------------------------------------------------------------- Q2 Min Max Mean SD Miss 9417 0 52 42.92 15.07 11172 ----------------------------------------------------------------- 291 98. DK (Don't Know); NA (Not Ascertained) 32 99. RF (Refused)
HRS2016Q28,Ref: SecJ.WORKSTATUS.Q28_Q2otWrk * ... 8280 1. Not working currently or in past 2 waves 12632 Blank. INAP (Inapplicable); Partial Interview
HRS2016Q29,Ref: SecJ.WORKSTATUS.Q29_EmpSelfOth [On the job you plan to go back to\,/On your current (main) job\,] do you work for someone else\, are you self-employed\, or what? IWER: If R says\, 'I run my own business' choose 'self-employed' ... 6971 1. SOMEONE ELSE 1755 2. SELF-EMPLOYED 44 8. DK (Don't Know); NA (Not Ascertained) 2 9. RF (Refused) 12140 Blank. INAP (Inapplicable); Partial Interview
HRS2016Q30,Ref: SecJ.WORKSTATUS.Q30_ According to our records\, in [Prev Wave IW Month][Prev Wave IW Year] you were self-employed. Do you have the same business that you had in [Prev Wave IW Month][Prev Wave IW Year] or is it a different business? ... 977 1. SAME BUSINESS 26 5. DIFFERENT BUSINESS 6. DENIES WORKING FOR SELF IN PREVIOUS WAVE 2 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 19907 Blank. INAP (Inapplicable); Partial Interview
